code,name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
543529,DELHIVERY,A,346.95,350.00,337.55,347.75,28092877,95743.00,2570,
512599,ADANIENT,A,1418.00,1567.00,1410.00,1535.00,1523839,22904.00,99844,
532921,ADANIPORTS,A,597.00,615.85,595.00,601.30,1688710,10233.00,34471,
532648,YESBANK,A,17.55,18.40,17.53,18.16,45124024,8211.00,46393,
542066,ATGL,A,655.00,714.20,655.00,693.60,768976,5379.00,31932,
500295,VEDL,A,265.00,278.25,265.00,277.25,1415232,3872.00,21819,
500325,RELIANCE,A,2342.20,2345.50,2323.55,2342.50,165618,3869.00,19416,
500209,INFY,A,1492.00,1501.00,1481.75,1496.00,166893,2493.00,8823,
500425,AMBUJACEM,A,343.40,354.70,343.40,352.45,682978,2391.00,10917,
532461,PNB,A,48.21,49.99,48.21,49.87,4797791,2372.00,7880,
543782,SEALMATIC,MT,225.00,236.25,216.00,236.25,962400,2199.00,1170,
532134,BANKBARODA,A,157.95,164.25,157.80,163.95,1335575,2161.00,8334,
500180,HDFCBANK,A,1606.50,1612.35,1597.25,1600.95,118935,1905.00,5681,
500470,TATASTEEL,A,104.35,107.10,104.35,105.40,1729250,1827.00,11081,
543320,ZOMATO,A,53.21,55.01,53.21,54.81,3335149,1821.00,11549,
526371,NMDC,A,111.40,114.20,111.40,113.90,1559317,1757.00,7200,
532822,IDEA,A,6.79,6.94,6.79,6.93,24229797,1662.00,44991,
500820,ASIANPAINT,A,2828.50,2853.90,2816.50,2845.00,56409,1598.00,5761,
500112,SBIN,A,523.05,535.90,523.05,535.65,295883,1570.00,5843,
540180,VBL,A,1312.00,1350.00,1309.80,1330.70,115981,1556.00,9558,
500034,BAJFINANCE,A,6095.00,6201.60,6095.00,6167.95,24415,1508.00,3939,
543257,IRFC,A,26.95,28.25,26.87,27.62,5311627,1470.00,11414,
532215,AXISBANK,A,846.00,868.40,845.25,865.00,160689,1383.00,5782,
532540,TCS,A,3326.50,3383.00,3320.00,3381.50,39065,1312.00,5603,
532667,SUZLON,A,8.26,8.57,8.23,8.39,15265828,1285.00,4887,
543787,ROBU,MT,184.00,184.00,174.80,174.80,697200,1266.00,454,
539254,ADANITRANS,A,630.00,674.65,630.00,674.65,184143,1231.00,5082,
532555,NTPC,A,170.70,172.45,170.10,172.45,704309,1203.00,4374,
500477,ASHOKLEY,A,145.75,146.45,143.40,143.90,787736,1146.00,4656,
500875,ITC,A,375.10,380.35,373.50,378.00,295557,1118.00,8706,
500113,SAIL,A,82.56,85.33,82.56,85.16,1297169,1098.00,3302,
532477,UNIONBANK,A,66.72,68.39,66.72,67.88,1585591,1074.00,7484,
532371,TTML,A,57.00,58.90,56.32,58.90,1808466,1058.00,4905,
543384,NYKAA,A,140.25,147.30,140.25,144.30,682132,988.00,7890,
539437,IDFCFIRSTB,A,55.15,56.25,55.15,55.75,1719636,957.00,5272,
532149,BANKINDIA,A,71.39,74.25,69.82,73.80,1299110,941.00,5306,
500339,RAIN,A,153.00,167.95,152.80,166.65,552759,905.00,6518,
500103,BHEL,A,69.97,72.73,69.59,72.48,1253722,896.00,3934,
500440,HINDALCO,A,401.40,413.45,401.40,411.95,217924,893.00,4650,
533148,JSWENERGY,A,232.70,242.00,228.40,233.50,378088,890.00,6328,
524230,RCF,A,97.80,101.75,96.76,100.54,892462,887.00,2881,
541154,HAL,A,2575.00,2677.00,2574.35,2673.00,33131,877.00,2608,
542649,RVNL,A,57.40,59.35,56.15,58.38,1473658,854.00,8345,
532234,NATIONALUM,A,77.81,82.45,77.81,82.20,1054344,853.00,3947,
507685,WIPRO,A,388.15,391.50,387.50,390.65,216603,844.00,7768,
540699,DIXON,A,2875.05,2993.25,2875.05,2924.35,28354,833.00,4927,
541450,ADANIGREEN,A,505.05,509.80,505.05,509.80,163202,831.00,2559,
543526,LICI,A,581.05,598.50,580.80,598.05,137098,811.00,7851,
543396,PAYTM,A,600.50,615.70,600.00,610.80,129432,788.00,4453,
532505,UCOBANK,A,25.95,26.50,25.78,26.09,2910434,762.00,9482,
532755,TECHM,A,1096.05,1129.00,1096.05,1126.20,68229,762.00,5137,
533096,ADANIPOWER,A,153.75,153.75,152.50,153.75,495371,761.00,2354,
532627,JPPOWER,A,6.60,6.98,6.56,6.87,11081500,756.00,4861,
500087,CIPLA,A,913.90,913.90,896.15,902.00,81333,734.00,6440,
543275,ANURAS,A,644.00,668.75,644.00,666.00,111521,730.00,515,
500096,DABUR,A,533.05,536.30,526.65,528.00,136755,726.00,2625,
532368,BCG,A,22.95,23.49,22.72,22.72,3146297,722.00,9207,
500010,HDFC,A,2624.95,2627.00,2608.55,2621.00,27478,718.00,3521,
543066,SBICARD,A,743.00,759.55,743.00,755.50,94696,717.00,4756,
532898,POWERGRID,A,221.25,222.25,216.95,218.50,319392,698.00,4070,
523475,LOTUSCHO,X,212.25,234.55,212.25,212.25,308206,682.00,4923,
535789,IBULHSGFIN,A,100.60,105.60,100.60,104.55,657118,680.00,5428,
532939,RPOWER,A,9.89,10.42,9.89,10.10,6654638,679.00,10906,
500185,HCC,A,14.04,14.60,13.93,14.22,4633563,664.00,6207,
532174,ICICIBANK,A,861.55,861.90,852.00,854.65,75129,644.00,2866,
500520,M&M,A,1279.85,1305.50,1277.05,1279.15,49770,642.00,3647,
542651,KPITTECH,A,830.50,849.00,825.75,843.70,76529,642.00,3651,
542726,INDIAMART,A,4869.95,5042.00,4859.65,4999.45,12757,635.00,3148,
533098,NHPC,A,39.59,39.99,39.15,39.77,1580439,626.00,8482,
532762,ACE,A,343.15,354.75,341.65,348.50,177927,621.00,3005,
543237,MAZDOCK,A,725.75,746.50,723.20,740.35,82179,608.00,3485,
543287,LODHA,A,805.10,870.00,803.90,849.85,70828,598.00,5244,
543390,POLICYBZR,A,560.00,582.60,559.95,574.35,103688,594.00,3674,
500570,TATAMOTORS,A,421.00,428.00,421.00,426.05,138891,590.00,4026,
500049,BEL,A,95.39,97.00,94.90,96.95,606531,584.00,4224,
541143,BDL,A,938.05,984.50,932.05,975.50,58082,562.00,2628,
500400,TATAPOWER,A,203.05,205.35,202.35,204.60,274134,559.00,4031,
532388,IOB,A,24.15,24.90,24.09,24.70,2244812,551.00,3981,
